,species,gender,age,weight,breed,drug,outcome,date_in,react_term_code,react_term_name,first_exp_da,last_exp_da,admin_by,route,dosage_form
152,Cat,Female,0,4.540,Domestic Shorthair,Nitenpyram,Recovered/Normal,20150713,292,Drooling,20140901,20150201,Animal Owner,Oral,Tablet
153,Dog,Female,1.00,31.751,Shepherd Dog - German,Spinosad,Outcome Unknown,20150909,1039,Lack of efficacy - NOS,20140901,20150901,Animal Owner,Oral,"Tablet, chewable"
154,Dog,Male,14.00,3.289,Terrier - Yorkshire,Ivermectin,Outcome Unknown,20150831,305,Digestive tract disorder NOS,20060801,20150815,Animal Owner,Oral,"Tablet, chewable"
155,Dog,Female,4.00,5.443,Havanese,Spinosad,Outcome Unknown,20151124,334,Vomiting,20151123,20151123,Animal Owner,Oral,"Tablet, chewable"
156,Dog,Male,0,0,Dog (unknown),Fluralaner Chew Tablets,Euthanized,20151216,981,Death by euthanasia,20151008,20151008,Animal Owner,Oral,"Tablet, chewable"
157,Dog,Male,13.00,3.225,Terrier - Yorkshire,Spinosad,Outcome Unknown,20151019,884,Cough,20150916,20150916,Animal Owner,Oral,"Tablet, chewable"
158,Dog,Male,8.00,28.123,"['Retriever - Labrador', 'Dog (unknown)']",Spinosad,Recovered/Normal,20150812,335,Emesis,20150809,20150811,Animal Owner,Oral,"Tablet, chewable"
159,Dog,Female,5.00,45.087,Shepherd Dog - German,Ivermectin,Outcome Unknown,20151102,305,Digestive tract disorder NOS,20120101,20151028,Animal Owner,Oral,"Tablet, chewable"
160,Dog,Female,1.50,2.000,Pit Bull,Pyrantel,Recovered/Normal,20150925,334,Vomiting,20150924,20150924,Animal Owner,Oral,Suspension
161,Dog,Male,6.00,17.240,Sheepdog - Shetland,"Milbemcyin Oxime, Lufenuron, Praziquantel",Outcome Unknown,20151012,99088,"INEFFECTIVE, ASCARIDS NOS",20150930,20150930,Animal Owner,Oral,"Tablet, chewable"
162,Dog,Unknown,0,0,Dog (unknown),Propofol,Recovered/Normal,20150930,120,Excitation,20150930,20150930,Veterinarian,Intravenous,Emulsion
163,Dog,Female,13.00,11.340,Spaniel - Cocker American,Ivermectin,Ongoing,20170614,305,Digestive tract disorder NOS,20140624,20170602,Unknown,Oral,"Tablet, chewable"
164,Dog,Male,8.00,32.477,Boxer (German Boxer),Ivermectin,Outcome Unknown,20170627,2798,Lack of efficacy (endoparasite) - hookworm,20160709,20170606,Unknown,Oral,"Tablet, chewable"
165,Cat,Unknown,0,0,Cat (unknown),Imidacloprid,Recovered/Normal,20170718,2412,Head shake - behavioural disorder,20170701,20170701,Animal Owner,Topical,Solution
166,Dog,Male,12.00,36.287,"['Retriever - Labrador', 'Chow Chow']",Polysulfated Glycosaminoglycan,Outcome Unknown,20170705,1039,Lack of efficacy - NOS,20170612,20170629,Unknown,Subcutaneous,Solution
167,Dog,Female,6.00,29.846,Weimaraner,Ivermectin,Recovered with Sequela,20170822,99115,"INEFFECTIVE, HEARTWORM LARVAE",20141121,20170801,Unknown,Oral,"Tablet, chewable"
168,Dog,Mixed,10.00,1.089,Dog (unknown),Fluralaner Chew Tablets,Outcome Unknown,20170807,1309,Alopecia,20170725,20170725,Other,Oral,"Tablet, chewable"
169,Dog,Male,5.00,24.948,Shepherd (unspecified),Sarolaner,Outcome Unknown,20170718,2649,Lack of efficacy (ectoparasite) - flea,20170609,20170709,Animal Owner,Oral,"Tablet, chewable"
170,Dog,Female,10.50,31.298,Boxer (German Boxer),Spinosad,Recovered with Sequela,20170919,202,Cardiac disorder NOS,20150101,20170201,Animal Owner,Oral,"Tablet, chewable"
171,Dog,Female,4.00,2.722,Maltese,Spinosad,Recovered/Normal,20170926,335,Emesis,20170926,20170926,Animal Owner,Oral,"Tablet, chewable"
172,Dog,Female,6.00,8.573,"['Spaniel - Cocker American', 'Dog (unknown)']",Spinosad,Outcome Unknown,20160719,2798,Lack of efficacy (endoparasite) - hookworm,20151117,20160617,Animal Owner,Oral,"Tablet, chewable"
173,Dog,Unknown,0,0,Dog (unknown),Fluralaner Chew Tablets,Recovered/Normal,20160714,2492,Lack of efficacy (ectoparasite) - NOS,20160628,20160714,Animal Owner,Oral,"Tablet, chewable"
174,Dog,Male,1.20,15.649,Schnauzer - Miniature,Maropitant Citrate,Recovered/Normal,20160823,335,Emesis,20160818,,Veterinarian,Subcutaneous,Injection
175,Dog,Female,4.00,28.576,Greyhound,"Milbemcyin Oxime, Lufenuron, Praziquantel",Outcome Unknown,20160422,2798,Lack of efficacy (endoparasite) - hookworm,20160402,20160402,Animal Owner,Oral,"Tablet, chewable"
176,Dog,Unknown,0,0,Dog (unknown),Nitenpyram,Outcome Unknown,20160919,2649,Lack of efficacy (ectoparasite) - flea,20160701,20160701,Animal Owner,Oral,Tablet
177,Dog,Male,10.00,0,Dog (unknown),Nitenpyram,Outcome Unknown,20161129,334,Vomiting,20161122,20161122,Animal Owner,Oral,Tablet
178,Cat,Female,5.00,4.218,Domestic Shorthair,Cyclosporine,Outcome Unknown,20161108,1039,Lack of efficacy - NOS,20160317,20161108,Animal Owner,Oral,Solution
179,Dog,Male,12.00,34.246,Pointing Dog - German Short-haired,"Milbemycin Oxime, Lufenuron",Recovered with Sequela,20160926,99115,"INEFFECTIVE, HEARTWORM LARVAE",20150626,20160826,Animal Owner,Oral,Tablet
180,Dog,Female,1.00,2.360,Maltese,Florfenicol/Terbinafine Hydrochloride/Mometasone Furoate,Recovered/Normal,20161018,334,Vomiting,20161018,20161018,Veterinarian,Unknown,Solution
181,Dog,Female,7.00,24.948,Greyhound,"Milbemycin Oxime, Lufenuron",Outcome Unknown,20160922,2798,Lack of efficacy (endoparasite) - hookworm,20160901,20160901,Animal Owner,Oral,Tablet
182,Dog,Female,7.00,44.906,Rottweiler,Polysulfated Glycosaminoglycan,Ongoing,20170214,1891,Pancreatitis,20120101,20170101,Animal Owner,Intramuscular,Solution
183,Dog,Female,14.00,25.855,Retriever - Labrador,Carprofen,Outcome Unknown,20170301,1131,Abnormal movement NOS,20150918,,Animal Owner,Oral,"Tablet, chewable"
184,Dog,Unknown,5.00,14.515,Dog (unknown),Selamectin,Ongoing,20170222,2791,Lack of efficacy (ectoparasite) - ear mite,20161227,20170221,Animal Owner,Topical,Solution
185,Dog,Female,7.00,6.804,Dachshund - Miniature,Ivermectin,Outcome Unknown,20170314,1221,Other abnormal test result NOS,20160301,20170301,Unknown,Oral,"Tablet, chewable"
186,Dog,Female,4.90,22.226,"Cattle Dog - Australian (blue heeler, red heeler, Queensland cattledog)",Spinosad,Recovered/Normal,20170424,334,Vomiting,20170201,20170201,Animal Owner,Oral,"Tablet, chewable"
187,Dog,Male,5.00,32.976,Poodle - Standard,Spinosad,Outcome Unknown,20170417,99115,"INEFFECTIVE, HEARTWORM LARVAE",20151028,20160901,Animal Owner,Oral,"Tablet, chewable"
188,Dog,Female,10.00,40.823,Retriever - Labrador,Spinosad,Recovered/Normal,20181022,334,Vomiting,20140701,20181020,Animal Owner,Oral,"Tablet, chewable"
189,Dog,Female,9.00,18.600,Siberian Husky,Propofol,Recovered/Normal,20181121,188,Bradycardia,20181121,,Veterinarian,Intravenous,Emulsion
190,Dog,Male,7.00,32.432,Retriever - Labrador,Ivermectin,Outcome Unknown,20190125,2430,Lack of efficacy (endoparasite) - heartworm,20161207,20181201,Animal Owner,Oral,"Tablet, chewable"
191,Dog,Male,10.00,27.216,Retriever - Golden,Ivermectin,Outcome Unknown,20190117,99112,"INEFFECTIVE, HOOKS",20160101,20190103,Animal Owner,Oral,"Tablet, chewable"
192,Dog,Male,6.00,30.436,Retriever - Labrador,Milbemycin Oxime,Recovered/Normal,20190304,702,Horner's syndrome,20190301,20190301,Animal Owner,Oral,Tablet
193,Dog,Female,15.00,2.676,Pug,Cefovecin,Ongoing,20190227,334,Vomiting,20190223,20190223,Veterinarian,Subcutaneous,Injection
194,Dog,Female,7.00,62.596,Mastiff,Dexmedetomidine,Euthanized,20190416,2110,Unrelated death,20190416,20190416,Veterinarian,Intravenous,Solution
195,Dog,Male,11.00,8.165,Terrier - West Highland White,Milbemycin Oxime,Outcome Unknown,20171221,2656,Lack of efficacy (roundworm),20160102,20171202,Animal Owner,Oral,"Tablet, chewable"
196,Dog,Female,1.00,5.897,Maltese,Spinosad,Recovered/Normal,20170920,334,Vomiting,20170501,20170916,Animal Owner,Oral,"Tablet, chewable"
197,Dog,Male,10.00,45.359,Siberian Husky,Milbemycin Oxime,Died,20180109,505,Liver tumour,20070301,20170101,Animal Owner,Oral,Tablet
198,Turkey,Unknown,38.00,0,Turkey (unknown),Monensin Sodium,Died,20180522,984,Death,20180508,20180508,Animal Owner,Oral,Unassigned
199,Dog,Male,3.00,17.781,Corso Dog,Ivermectin,Outcome Unknown,20180618,2656,Lack of efficacy (endoparasite) - roundworm NOS,20180415,20180515,Animal Owner,Oral,"Tablet, chewable"
200,Dog,Female,2.00,18.144,Shepherd Dog - Australian,Ivermectin,Outcome Unknown,20180625,1900,Head tremor,20180620,20180620,Unknown,Oral,"Tablet, chewable"
201,Dog,Female,6.00,4.536,"['Pug', 'Chihuahua']",Spinosad,Outcome Unknown,20180323,2649,Lack of efficacy (flea),20180320,20180320,Animal Owner,Oral,"Tablet, chewable"
202,Dog,Male,3.50,9.525,Retriever - Labrador,Spinosad,Recovered/Normal,20180327,334,Vomiting,20180326,20180326,Animal Owner,Oral,"Tablet, chewable"
203,Cat,Male,4.00,8.165,Domestic Shorthair,Spinosad,Recovered/Normal,20180422,1134,Hind limb ataxia,20180421,20180421,Other,Oral,"Tablet, chewable"
204,Dog,Unknown,0,0,Dog (unknown),Oclacitinib Maleate,Outcome Unknown,20180417,142,Anaemia NOS,20160417,,Animal Owner,Oral,Tablet
205,Cat,Female,3.00,1.588,Domestic Longhair,Nitenpyram,Ongoing,20180627,334,Vomiting,20180623,20180624,Animal Owner,Oral,Tablet
206,Dog,Male,0,45.359,Dog (unknown),Afoxolaner,Outcome Unknown,20180702,1018,Lethargy (see also Central nervous system depression in 'Neurological'),20180523,20180623,Animal Owner,Oral,"Tablet, chewable"
207,Dog,Male,10.00,45.359,Retriever - Labrador,Oclacitinib Maleate,Ongoing,20180724,302,Diarrhoea,20171001,20180719,Animal Owner,Oral,Tablet
208,Human,Male,0,0,Unknown,Detomidine Hydrochloride,Recovered/Normal,20180726,1576,Light headedness,20160726,20160726,Other,Intradermal,Solution
209,Dog,Male,5.00,7.711,Dachshund (unspecified),Melarsomine Dihydrochloride,Outcome Unknown,20180803,884,Cough,20180620,20180620,Veterinarian,Intramuscular,Suspension
210,Cat,Female,0,0,Cat (unknown),Imidacloprid,Outcome Unknown,20180817,2649,Lack of efficacy (ectoparasite) - flea,20180810,20180810,Animal Owner,Topical,Solution
211,Dog,Male,9.00,38.000,"['Retriever - Labrador', 'Dog (unknown)']",Trilostane,Outcome Unknown,20181002,2127,Urine leakage,20170701,,Animal Owner,Oral,Capsule
212,Dog,Female,3.00,24.948,Retriever - Labrador,Milbemycin Oxime,Recovered/Normal,20180821,335,Emesis,20170801,20180821,Animal Owner,Oral,"Tablet, chewable"
213,Dog,Female,11.00,13.154,"['Pug', 'Beagle']",Dexmedetomidine Hydrochloride,Outcome Unknown,20190725,658,Recumbency,20190712,20190712,Animal Owner,Sublingual,Gel
214,Dog,Female,3.00,3.629,"['Shih Tzu', 'Terrier (unspecified)']",Lotilaner,Outcome Unknown,20190430,645,Seizure NOS,20190220,20190220,Other,Oral,"Tablet, chewable"
215,Dog,Female,10.00,14.742,Dog (unknown),Milbemycin Oxime,Outcome Unknown,20190521,2430,Lack of efficacy (endoparasite) - heartworm,20170812,20190512,Animal Owner,Oral,Tablet
216,Dog,Male,15.00,46.266,Akita,Polysulfated Glycosaminoglycan,Outcome Unknown,20190715,302,Diarrhoea,20190606,20190708,Unknown,Parenteral,Solution
217,Dog,Female,6.00,5.443,"['Chihuahua', 'Greyhound - Italian']",Ivermectin,Outcome Unknown,20200528,645,Seizure NOS,20200512,20200512,Animal Owner,Oral,"Tablet, chewable"
218,Dog,Male,3.00,39.508,Shepherd Dog - German,Spinosad,Outcome Unknown,20200409,2430,Lack of efficacy (endoparasite) - heartworm,20170708,20170708,Unknown,Oral,"Tablet, chewable"
219,Dog,Female,0,0,Dog (unknown),Fluralaner 13.64% Chew Tablets,Ongoing,20200512,2283,Product problem,2019,,Animal Owner,Oral,"Tablet, chewable"
220,Dog,Male,3.00,34.019,"['Retriever - Labrador', 'Beagle']",Spinosad,Outcome Unknown,20200629,1338,Bacterial skin infection NOS,20170101,20200610,Animal Owner,Oral,"Tablet, chewable"
221,Dog,Male,2.50,2.268,Terrier - Yorkshire,Afoxolaner,Outcome Unknown,20191218,2649,Lack of efficacy (ectoparasite) - flea,20171201,20191201,Animal Owner,Oral,"Tablet, chewable"
222,Dog,Male,15.00,15.876,"Cattle Dog - Australian (blue heeler, red heeler, Queensland cattledog)",Ivermectin,Recovered with Sequela,20190816,2430,Lack of efficacy (endoparasite) - heartworm,20180810,20190801,Animal Owner,Oral,"Tablet, chewable"
223,Dog,Female,13.00,20.412,Shepherd (unspecified),Grapiprant,Ongoing,20190419,2182,Azotaemia,20181201,20190419,Animal Owner,Oral,Tablet
224,Dog,Male,8.00,11.340,Spaniel (unspecified),Ivermectin,Outcome Unknown,20191004,99112,"INEFFECTIVE, HOOKS",20190820,20190820,Animal Owner,Oral,"Tablet, chewable"
225,Cat,Female,16.00,3.084,Domestic Shorthair,Telmisartan,Recovered/Normal,20190913,334,Vomiting,20190910,20190910,Animal Owner,Oral,Solution
226,Dog,Male,6.00,38.555,Hound (unspecified),Ivermectin,Outcome Unknown,20191202,2430,Lack of efficacy (endoparasite) - heartworm,20180904,20190204,Animal Owner,Oral,"Tablet, chewable"
227,Dog,Male,3.00,9.072,Retriever - Labrador,Milbemycin Oxime,Ongoing,20191121,334,Vomiting,20191120,20191120,Animal Owner,Oral,"Tablet, chewable"
228,Cat,Male,14.00,4.440,Domestic Shorthair,Cyclosporine,Ongoing,20190903,998,Decreased appetite,20190831,20190903,Animal Owner,Oral,Solution
229,Dog,Male,11.00,8.346,Mixed (Dog),Spinosad,Outcome Unknown,20190225,334,Vomiting,20190223,20190223,Animal Owner,Oral,"Tablet, chewable"
230,Dog,Female,5.00,13.608,Crossbred Canine/dog,Spinosad,Outcome Unknown,20190513,2649,Lack of efficacy (flea),20190301,20190401,Animal Owner,Oral,"Tablet, chewable"
231,Dog,Female,2.00,48.534,"['Mastiff', 'Dog (unknown)']",Milbemycin Oxime,Outcome Unknown,20200128,2430,Lack of efficacy (endoparasite) - heartworm,20190501,20190901,Animal Owner,Oral,"Tablet, chewable"
232,Dog,Male,9.00,9.820,Terrier - West Highland White,Trilostane,Outcome Unknown,20200130,1018,Lethargy (see also Central nervous system depression in 'Neurological'),20200122,20200220,Animal Owner,Oral,Capsule
233,Dog,Unknown,0,0,Dog (unknown),Sarolaner,Outcome Unknown,20200318,654,Ataxia,20200317,20200317,Animal Owner,Oral,"Tablet, chewable"
234,Dog,Female,12.00,3.180,Poodle - Miniature,Spinosad,Euthanized,20130419,126,Dullness,20130321,20130321,Animal Owner,Oral,"Tablet, chewable"
235,Dog,Male,7.00,29.120,Retriever - Golden,Spinosad,Outcome Unknown,20130122,134,Pica NOS,20120820,20130101,Animal Owner,Oral,"Tablet, chewable"
236,Dog,Female,9.00,39.780,Retriever - Labrador,Cyclosporine A,Recovered/Normal,20130514,469,Conjunctivitis,20130430,20130506,Animal Owner,Oral,Capsule
237,Dog,Female,12.00,7.800,"['Shepherd (unspecified)', 'Dog (unknown)']",Spinosad,Recovered/Normal,20130624,335,Emesis,20130528,20130528,Animal Owner,Oral,"Tablet, chewable"
238,Dog,Unknown,0,0,Spaniel - King Charles Cavalier,Spinosad,Outcome Unknown,20130523,2649,Lack of efficacy (ectoparasite) - flea,20130515,20130515,Animal Owner,Oral,"Tablet, chewable"
239,Dog,Male,8.00,7.440,Terrier - Border,Ivermectin/Pyrantel Pamoate Chewable 68Mcg/163Mg,Outcome Unknown,20130617,855,Panting,20130615,20130615,Animal Owner,Oral,"Tablet, chewable"
240,Dog,Female,9.00,13.610,Terrier (unspecified),Spinosad,Recovered/Normal,20120104,356,Otitis externa,20110613,20111113,Animal Owner,Oral,"Tablet, chewable"
241,Dog,Female,1.00,3.490,Shih Tzu,Spinosad,Recovered/Normal,20110923,687,Trembling,20110923,20110923,Animal Owner,Oral,"Tablet, chewable"
242,Dog,Female,4.00,8.620,Shih Tzu,Spinosad,Recovered with Sequela,20120220,959,Scratching,20111201,20120101,Animal Owner,Oral,"Tablet, chewable"
243,Dog,Female,3.00,28.350,Retriever - Labrador,Ivermectin/Pyrantel Chew. Dog 272Mcg/227Mg,Outcome Unknown,20111110,305,Digestive tract disorder NOS,20110315,20111101,Animal Owner,Oral,"Tablet, chewable"
244,Cattle,Female,0,0,Mixed (Cattle),Melengestrol Acetate,Outcome Unknown,20110527,99103,"INEFFECTIVE, ESTRUS SUPPRESSIO",20101101,20110527,Animal Owner,Oral,Unknown
245,Dog,Female,2.00,14.510,Terrier - Cairn,Melarsomine Dihydrochloride Injection,Outcome Unknown,20120416,99114,"INEFFECTIVE, HEARTWORM ADULTS",20110825,20110826,Veterinarian,Intramuscular,Suspension
246,Dog,Male,5.00,24.720,"['Shepherd Dog - German', 'Crustacea (unknown)']",Spinosad,Outcome Unknown,20111121,335,Emesis,201106,201111,Animal Owner,Oral,"Tablet, chewable"
247,Dog,Male,1.00,5.440,"['Terrier (unspecified)', 'Dog (other)']",Spinosad,Outcome Unknown,20120521,1018,Lethargy (see also Central nervous system depression in 'Neurological'),20120415,20120521,Animal Owner,Oral,"Tablet, chewable"
248,Dog,Female,2.00,3.950,Shih Tzu,Spinosad,Outcome Unknown,20120315,959,Scratching,20100801,20140101,Animal Owner,Oral,"Tablet, chewable"
249,Dog,Unknown,0,0,Dog (unknown),Ketamine,Recovered/Normal,20120627,1039,Lack of efficacy - NOS,,,Veterinarian,Unknown,Solution
250,Dog,Female,12.00,7.260,Schnauzer (unspecified),Spinosad,Recovered with Sequela,20120425,116,Behavioural disorder NOS,20120415,20120415,Animal Owner,Oral,"Tablet, chewable"
251,Cattle,Male,0,249.480,Cattle (other),Ceftiofur Crystalline Free Acid,Died,20120208,2648,Lack of efficacy (bacteria) - NOS,20120128,20120128,Animal Owner,Unknown,Suspension
252,Dog,Male,5.00,6.030,"['Spitz - German Pomeranian', 'Dog (unknown)']",Spinosad,Recovered/Normal,20120910,335,Emesis,20120906,20120906,Animal Owner,Oral,"Tablet, chewable"
253,Dog,Female,1.00,11.930,Terrier - Boston,Spinosad,Recovered/Normal,20120806,335,Emesis,20120501,20120701,Animal Owner,Oral,"Tablet, chewable"
254,Dog,Female,11.00,2.270,Shih Tzu,Spinosad,Recovered with Sequela,20121019,409,Partial blindness,20120201,20121001,Animal Owner,Oral,"Tablet, chewable"
255,Dog,Male,11.00,19.140,"['Shepherd Dog - German', 'Dog (unknown)']",Carprofen,Died,20121015,116,Behavioural disorder NOS,20120919,20120924,Animal Owner,Oral,Tablet
256,Dog,Male,8.00,6.800,Terrier - Jack Russell,Spinosad,Recovered/Normal,20120918,645,Seizure NOS,20081201,20120901,Animal Owner,Oral,"Tablet, chewable"
257,Dog,Male,3.00,27.000,Crossbred Canine/dog,Phenylpropanolamine,Recovered/Normal,20121012,948,Erythema (for urticaria see Immune SOC),20121012,20121012,Other,Oral,"Tablet, chewable"
258,Cat,Female,2.00,6.400,Domestic Mediumhair,Spinosad,Recovered/Normal,20130129,335,Emesis,20130128,20130128,Animal Owner,Oral,"Tablet, chewable"
259,Dog,Male,4.50,23.130,"['Pointer (unspecified)', 'Dog (unknown)']",Spinosad,Recovered/Normal,20130121,335,Emesis,20111201,20121201,Animal Owner,Oral,"Tablet, chewable"
260,Dog,Male,4.00,9.530,Spaniel - Cocker American,Pyrantel Pamoate/Praziquantel,Recovered/Normal,20140926,334,Vomiting,20140925,20140926,Animal Owner,Oral,Tablet
261,Dog,Male,6.40,43.090,Retriever - Labrador,Oclacitinib Maleate,Ongoing,20140910,920,Papilloma,20140429,,Animal Owner,Oral,Tablet
262,Dog,Male,12.00,8.890,Terrier - Jack Russell,Milbemycin Oxime,Outcome Unknown,20140624,2801,Lack of efficacy (endoparasite) - whipworm,201306,201405,Animal Owner,Oral,Tablet
263,Dog,Female,4.00,11.793,Crossbred Canine/dog,Afoxolaner,Outcome Unknown,20150106,1018,Lethargy (see also Central nervous system depression in 'Neurological'),20150105,20150105,Animal Owner,Oral,"Tablet, chewable"
264,Cat,Male,1.00,5.900,Domestic Shorthair,Nitenpyram,Outcome Unknown,20130920,1172,Open mouth breathing,20130919,20130919,Animal Owner,Oral,Tablet
265,Cat,Female,3.00,3.090,Domestic Shorthair,Spinosad,Recovered/Normal,20130923,335,Emesis,20130921,20130921,Animal Owner,Oral,"Tablet, chewable"
266,Mouse,Mixed,0,0,Mouse (unknown),Ketamine Hydrochloride,Recovered/Normal,20131009,984,Death,20130901,20131001,Multiple Adminstrators,Intraperitoneal,Solution
267,Dog,Female,0,7.800,"['Poodle (unspecified)', 'Dog (unknown)']",Spinosad,Recovered/Normal,20131203,335,Emesis,20130201,20131201,Animal Owner,Oral,"Tablet, chewable"
268,Dog,Female,6.00,6.120,Spaniel - King Charles Cavalier,Spinosad,Recovered with Sequela,20131014,1756,Skin disorders NOS,20130915,20130915,Animal Owner,Oral,"Tablet, chewable"
269,Dog,Female,6.00,5.900,Havanese,Milbemycin Oxime,Recovered/Normal,20131010,335,Emesis,20130601,20130801,Animal Owner,Oral,Tablet
270,Dog,Female,1.00,6.800,"['Spitz - German Pomeranian', 'Chihuahua']",Spinosad,Recovered with Sequela,20140103,302,Diarrhoea,20131021,20140102,Animal Owner,Oral,"Tablet, chewable"
271,Dog,Female,1.50,22.680,Crossbred Canine/dog,Spinosad,Outcome Unknown,20140506,1039,Lack of efficacy - NOS,20140421,20140421,Animal Owner,Oral,"Tablet, chewable"
272,Dog,Female,3.00,3.990,Terrier - Yorkshire,Spinosad,Outcome Unknown,20131025,1039,Lack of efficacy - NOS,20130624,20131024,Animal Owner,Oral,"Tablet, chewable"
273,Cat,Unknown,0,0,Cat (unknown),Selamectin,Outcome Unknown,20140225,3,Application site hair loss,20140225,20140225,Animal Owner,Topical,Solution
274,Dog,Female,1.50,23.590,Dalmatian,Spinosad,Outcome Unknown,20140224,1039,Lack of efficacy - NOS,20130913,20140213,Animal Owner,Oral,"Tablet, chewable"
275,Dog,Male,8.00,39.150,Retriever - Labrador,Ivermectin,Ongoing,20140602,305,Digestive tract disorder NOS,20130412,20140501,Animal Owner,Oral,"Tablet, chewable"
276,Dog,Female,1.30,18.600,"['Retriever - Labrador', 'Dog (unknown)']",Spinosad,Recovered/Normal,20140417,335,Emesis,20140416,20140416,Animal Owner,Oral,"Tablet, chewable"
277,Dog,Female,9.00,4.990,Terrier - Rat,Ivermectin,Outcome Unknown,20141105,960,Pruritus,20050405,20141009,Animal Owner,Oral,"Tablet, chewable"
278,Dog,Female,8.00,6.800,Terrier - Boston,Spinosad,Recovered/Normal,20140404,116,Behavioural disorder NOS,20140403,20140403,Animal Owner,Oral,"Tablet, chewable"
279,Dog,Female,5.00,24.490,"['Pit Bull', 'Dog (unknown)']",Cyclosporine A,Outcome Unknown,20140519,966,Skin lesion NOS,20140102,20140504,Animal Owner,Oral,Capsule
280,Dog,Female,2.00,30.391,"['Shepherd (unspecified)', 'Dog (unknown)']",Spinosad,Recovered/Normal,20140812,335,Emesis,20130601,20150508,Animal Owner,Oral,"Tablet, chewable"
281,Dog,Unknown,6.00,18.140,Chihuahua,Nitenpyram,Ongoing,20140726,302,Diarrhoea,20140725,20140725,Animal Owner,Oral,Tablet
282,Dog,Female,3.00,16.330,Retriever - Labrador,Moxidectin,Recovered/Normal,20140723,1794,Stiffness NOS,20140722,20140722,Veterinarian,Subcutaneous,Suspension
283,Dog,Male,3.00,33.340,"['Retriever - Golden', 'Poodle (unspecified)']",Ivermectin,Outcome Unknown,20140812,305,Digestive tract disorder NOS,20110501,20140712,Animal Owner,Oral,"Tablet, chewable"
284,Horse,Mixed,0,411.410,Horse (unknown),Poloxalene,Unknown,19991006,1909,No sign,,,Unknown,Oral,Unknown
285,Horse,Male,13.00,544.310,Horse (unknown),Pyrantel Tartrate,Unknown,20060427,2796,Lack of efficacy (endoparasite) - Cyathostominae,,,Unknown,Oral,Unknown
286,Cattle,Female,.00,0,Cattle (unknown),Sometribove,Unknown,19950124,1039,Lack of efficacy - NOS,,,Unknown,Subcutaneous,Suspension
287,Horse,Unknown,8.00,181.440,Horse (unknown),Moxidectin,Unknown,19971030,1909,No sign,,,Unknown,Oral,Gel
288,Dog,Female,10.00,7.710,Dog (unknown),Meloxicam,Unknown,20090317,334,Vomiting,,,Unknown,Oral,Suspension
289,Dog,Female,14.00,30.391,Retriever - Labrador,Phenylpropanolamine Hydrochloride,Outcome Unknown,20200828,1039,Lack of efficacy - NOS,20200626,,Animal Owner,Oral,Tablet
290,Dog,Male,8.00,27.442,Crossbred Canine/dog,Melarsomine Dihydrochloride,Ongoing,20210113,512,Anaphylaxis,20201204,20210113,Veterinarian,Intramuscular,Powder
291,Dog,Male,2.40,30.844,Catahoula Leopard Dog,Milbemycin Oxime,Outcome Unknown,20200817,2430,Lack of efficacy (endoparasite) - heartworm,20190916,20200801,Animal Owner,Oral,"Tablet, chewable"
292,Dog,Female,11.50,26.308,Pointing Dog - German Short-haired,Milbemycin Oxime,Outcome Unknown,20201214,2798,Lack of efficacy (endoparasite) - hookworm,20191201,20201201,Animal Owner,Oral,"Tablet, chewable"
293,Horse,Female,0,0,Horse (unknown),Pergolide Mesylate,Outcome Unknown,20201105,2074,Abscess NOS,20201001,,Animal Owner,Oral,Tablet
294,Dog,Female,2.00,27.578,Boxer (German Boxer),Ivermectin,Outcome Unknown,20201215,2656,Lack of efficacy (endoparasite) - roundworm NOS,20201014,20201014,Animal Owner,Oral,"Tablet, chewable"
295,Dog,Unknown,0,0,Dog (unknown),Pyrantel Pamoate;Sarolaner,Outcome Unknown,20210415,543,Polydipsia,,,Animal Owner,Oral,"Tablet, chewable"
296,Dog,Female,4.00,14.515,"['Chihuahua', 'Crossbred Canine/dog']",Phenylpropanolamine Hydrochloride,Outcome Unknown,20210112,334,Vomiting,20201201,,Animal Owner,Oral,Tablet
297,Dog,Male,0,0,Shepherd Dog - German,Pyrantel Pamoate;Sarolaner,Outcome Unknown,20210427,959,Scratching,20210401,20210401,Animal Owner,Oral,"Tablet, chewable"
298,Dog,Male,2.00,32.659,Retriever - Golden,Ivermectin,Recovered/Normal,20210329,2658,Lack of efficacy (ectoparasite) - tick NOS,20210302,20210302,Animal Owner,Oral,"Tablet, chewable"
299,Dog,Female,13.00,9.072,Shih Tzu,Imidacloprid,Outcome Unknown,20210412,2649,Lack of efficacy (ectoparasite) - flea,20210331,20210331,Animal Owner,Topical,Solution
300,Dog,Female,8.00,4.763,Pekingese,Afoxolaner,Outcome Unknown,20210714,1900,Head tremor,20210701,20210701,Animal Owner,Oral,"Tablet, chewable"
301,Dog,Male,3.00,27.216,Pointing Dog - German Short-haired,Milbemycin Oxime,Outcome Unknown,20210714,2430,Lack of efficacy (endoparasite) - heartworm,20180901,20190901,Animal Owner,Oral,"Tablet, chewable"
302,Dog,Male,3.00,6.033,Spaniel - King Charles Cavalier,Milbemycin Oxime,Outcome Unknown,20210512,2656,Lack of efficacy (endoparasite) - roundworm NOS,20210401,20210401,Animal Owner,Oral,"Tablet, chewable"
